Abyss_01/Geo Rock 1,Geo Rock,2,5,5,15,15
Abyss_01/Geo Rock 2,Geo Rock,2,5,5,15,15
Abyss_01/Geo Rock 2 (1),Geo Rock,2,5,5,15,15
Abyss_01/Ruins Flying Sentry,Winged Sentry,2,2,0,12,18
Abyss_01/Ruins Flying Sentry (1),Winged Sentry,2,2,0,12,18
Abyss_02/Geo Rock Deepnest,Geo Rock,0,3,15,15,15
Abyss_02/Geo Rock Deepnest (1),Geo Rock,0,3,15,15,15
Abyss_02/Geo Rock Deepnest (2),Geo Rock,0,3,15,15,15
Abyss_02/Ruins Flying Sentry,Winged Sentry,2,2,0,12,18
Abyss_02/Ruins Flying Sentry (1),Winged Sentry,2,2,0,12,18
Abyss_02/Ruins Flying Sentry Javelin,Lance Sentry,2,2,0,12,18
Abyss_02/Ruins Flying Sentry Javelin (1),Lance Sentry,2,2,0,12,18
Abyss_02/Ruins Sentry 1,Husk Sentry,5,1,0,10,16
Abyss_02/Shiny Item,Wanderer's Journal,,,,200,200
Abyss_02/Zombie Barger,Husk Bully,3,0,0,3,4
Abyss_02/Zombie Barger (1),Husk Bully,3,0,0,3,4
Abyss_02/Zombie Hornhead,Husk Hornhead,4,0,0,4,5
Abyss_03_c/Bee Hatchling Ambient,Hiveling,0,0,0,0,0
Abyss_03_c/Bee Hatchling Ambient (1),Hiveling,0,0,0,0,0
Abyss_04/Abyss Crawler,Shadow Creeper,2,0,0,2,3
Abyss_04/Abyss Crawler (1),Shadow Creeper,2,0,0,2,3
Abyss_04/Abyss Crawler (10),Shadow Creeper,2,0,0,2,3
Abyss_04/Abyss Crawler (11),Shadow Creeper,2,0,0,2,3
Abyss_04/Abyss Crawler (2),Shadow Creeper,2,0,0,2,3
Abyss_04/Abyss Crawler (3),Shadow Creeper,2,0,0,2,3
Abyss_04/Abyss Crawler (4),Shadow Creeper,2,0,0,2,3
Abyss_04/Abyss Crawler (7),Shadow Creeper,2,0,0,2,3
Abyss_04/Abyss Crawler (9),Shadow Creeper,2,0,0,2,3
Abyss_06_Core/_Enemies/Abyss Crawler,Shadow Creeper,2,0,0,2,3
Abyss_06_Core/_Enemies/Abyss Crawler (1),Shadow Creeper,2,0,0,2,3
Abyss_06_Core/_Enemies/Abyss Crawler (10),Shadow Creeper,2,0,0,2,3
Abyss_06_Core/_Enemies/Abyss Crawler (11),Shadow Creeper,2,0,0,2,3
Abyss_06_Core/_Enemies/Abyss Crawler (12),Shadow Creeper,2,0,0,2,3
Abyss_06_Core/_Enemies/Abyss Crawler (13),Shadow Creeper,2,0,0,2,3
